Name,9/24/17,9/25/17,9/26/17,9/27/17,9/28/17,9/29/17,9/30/17,9/24/17 time,9/25/17 time,9/26/17 time,9/27/17 time,9/28/17 time,9/29/17 time,9/30/17 time
Employee 1,1,0,3,3,1,2,0,PM,AM,PM,AM,PM,PM,PM
Employee 2,3,3,2,1,2,1,2,AM,AM,AM,PM,PM,AM,AM
Employee 3,2,0,3,0,0,3,1,AM,AM,AM,AM,PM,AM,PM
Employee 4,3,2,3,3,3,0,1,PM,AM,AM,PM,AM,PM,AM
Employee 5,2,2,1,1,0,3,3,AM,AM,AM,AM,PM,AM,PM
Employee 6,0,2,2,2,1,3,2,PM,AM,PM,PM,PM,AM,PM
Employee 7,0,1,2,1,0,3,1,PM,PM,AM,AM,PM,AM,AM
Employee 8,2,1,1,0,2,2,1,PM,AM,PM,PM,AM,AM,PM
Employee 9,2,2,0,2,3,0,2,AM,PM,PM,PM,PM,PM,PM
Employee 10,1,3,2,1,1,0,3,AM,PM,AM,PM,PM,AM,AM
Employee 11,0,3,1,3,2,1,2,PM,PM,PM,AM,AM,AM,PM
Employee 12,0,1,3,1,0,1,2,PM,AM,AM,AM,PM,PM,PM
Employee 13,0,2,3,3,1,3,2,PM,PM,PM,PM,AM,AM,AM
Employee 14,0,0,2,2,0,2,2,PM,PM,AM,AM,AM,PM,PM
Employee 15,0,0,2,0,2,3,2,AM,AM,PM,AM,AM,AM,PM
