Tours,Start,Duration,Date
Tour 1.1a,8:30:00 AM,90,9/24/17
Tour 1.1b,8:30:00 AM,90,9/24/17
Tour 1.4,10:00:00 AM,90,9/24/17
Tour 1.5,10:30:00 AM,90,9/24/17
Tour 1.6,11:00:00 AM,90,9/24/17
Tour 1.7,11:30:00 AM,90,9/24/17
Tour 1.8,12:00:00 PM,90,9/24/17
Tour 1.9,12:30:00 PM,90,9/24/17
Tour 1.10,1:00:00 PM,90,9/24/17
Tour 1.11,1:30:00 PM,90,9/24/17
Tour 1.12,2:00:00 PM,90,9/24/17
Tour 1.13,2:30:00 PM,90,9/24/17
Tour 1.14,3:00:00 PM,90,9/24/17
Tour 1.15,3:30:00 PM,90,9/24/17
Tour 1.16,4:00:00 PM,90,9/24/17
Tour 1.17,4:30:00 PM,90,9/24/17
Tour 1.18,5:00:00 PM,90,9/24/17
Tour 2.1a,8:30:00 AM,90,9/25/17
Tour 2.1b,8:30:00 AM,90,9/25/17
Tour 2.4,10:00:00 AM,90,9/25/17
Tour 2.5,10:30:00 AM,90,9/25/17
Tour 2.6,11:00:00 AM,90,9/25/17
Tour 2.7,11:30:00 AM,90,9/25/17
Tour 2.8,12:00:00 PM,90,9/25/17
Tour 2.9,12:30:00 PM,90,9/25/17
Tour 2.10,1:00:00 PM,90,9/25/17
Tour 2.11,1:30:00 PM,90,9/25/17
Tour 2.12,2:00:00 PM,90,9/25/17
Tour 2.13,2:30:00 PM,90,9/25/17
Tour 2.14,3:00:00 PM,90,9/25/17
Tour 2.15,3:30:00 PM,90,9/25/17
Tour 2.16,4:00:00 PM,90,9/25/17
Tour 2.17,4:30:00 PM,90,9/25/17
Tour 2.18,5:00:00 PM,90,9/25/17
Tour 3.1a,8:30:00 AM,90,9/26/17
Tour 3.1b,8:30:00 AM,90,9/26/17
Tour 3.4,10:00:00 AM,90,9/26/17
Tour 3.5,10:30:00 AM,90,9/26/17
Tour 3.6,11:00:00 AM,90,9/26/17
Tour 3.7,11:30:00 AM,90,9/26/17
Tour 3.8,12:00:00 PM,90,9/26/17
Tour 3.9,12:30:00 PM,90,9/26/17
Tour 3.10,1:00:00 PM,90,9/26/17
Tour 3.11,1:30:00 PM,90,9/26/17
Tour 3.12,2:00:00 PM,90,9/26/17
Tour 3.13,2:30:00 PM,90,9/26/17
Tour 3.14,3:00:00 PM,90,9/26/17
Tour 3.15,3:30:00 PM,90,9/26/17
Tour 3.16,4:00:00 PM,90,9/26/17
Tour 3.17,4:30:00 PM,90,9/26/17
Tour 3.18,5:00:00 PM,90,9/26/17
Tour 4.1a,8:30:00 AM,90,9/27/17
Tour 4.1b,8:30:00 AM,90,9/27/17
Tour 4.4,10:00:00 AM,90,9/27/17
Tour 4.5,10:30:00 AM,90,9/27/17
Tour 4.6,11:00:00 AM,90,9/27/17
Tour 4.7,11:30:00 AM,90,9/27/17
Tour 4.8,12:00:00 PM,90,9/27/17
Tour 4.9,12:30:00 PM,90,9/27/17
Tour 4.10,1:00:00 PM,90,9/27/17
Tour 4.11,1:30:00 PM,90,9/27/17
Tour 4.12,2:00:00 PM,90,9/27/17
Tour 4.13,2:30:00 PM,90,9/27/17
Tour 4.14,3:00:00 PM,90,9/27/17
Tour 4.15,3:30:00 PM,90,9/27/17
Tour 4.16,4:00:00 PM,90,9/27/17
Tour 4.17,4:30:00 PM,90,9/27/17
Tour 4.18,5:00:00 PM,90,9/27/17
Tour 5.1a,8:30:00 AM,90,9/28/17
Tour 5.1b,8:30:00 AM,90,9/28/17
Tour 5.4,10:00:00 AM,90,9/28/17
Tour 5.5,10:30:00 AM,90,9/28/17
Tour 5.6,11:00:00 AM,90,9/28/17
Tour 5.7,11:30:00 AM,90,9/28/17
Tour 5.8,12:00:00 PM,90,9/28/17
Tour 5.9,12:30:00 PM,90,9/28/17
Tour 5.10,1:00:00 PM,90,9/28/17
Tour 5.11,1:30:00 PM,90,9/28/17
Tour 5.12,2:00:00 PM,90,9/28/17
Tour 5.13,2:30:00 PM,90,9/28/17
Tour 5.14,3:00:00 PM,90,9/28/17
Tour 5.15,3:30:00 PM,90,9/28/17
Tour 5.16,4:00:00 PM,90,9/28/17
Tour 5.17,4:30:00 PM,90,9/28/17
Tour 5.18,5:00:00 PM,90,9/28/17
Tour 6.1a,8:30:00 AM,90,9/29/17
Tour 6.1b,8:30:00 AM,90,9/29/17
Tour 6.4,10:00:00 AM,90,9/29/17
Tour 6.5,10:30:00 AM,90,9/29/17
Tour 6.6,11:00:00 AM,90,9/29/17
Tour 6.7,11:30:00 AM,90,9/29/17
Tour 6.8,12:00:00 PM,90,9/29/17
Tour 6.9,12:30:00 PM,90,9/29/17
Tour 6.10,1:00:00 PM,90,9/29/17
Tour 6.11,1:30:00 PM,90,9/29/17
Tour 6.12,2:00:00 PM,90,9/29/17
Tour 6.13,2:30:00 PM,90,9/29/17
Tour 6.14,3:00:00 PM,90,9/29/17
Tour 6.15,3:30:00 PM,90,9/29/17
Tour 6.16,4:00:00 PM,90,9/29/17
Tour 6.17,4:30:00 PM,90,9/29/17
Tour 6.18,5:00:00 PM,90,9/29/17
Tour 7.1a,8:30:00 AM,90,9/30/17
Tour 7.1b,8:30:00 AM,90,9/30/17
Tour 7.4,10:00:00 AM,90,9/30/17
Tour 7.5,10:30:00 AM,90,9/30/17
Tour 7.6,11:00:00 AM,90,9/30/17
Tour 7.7,11:30:00 AM,90,9/30/17
Tour 7.8,12:00:00 PM,90,9/30/17
Tour 7.9,12:30:00 PM,90,9/30/17
Tour 7.10,1:00:00 PM,90,9/30/17
Tour 7.11,1:30:00 PM,90,9/30/17
Tour 7.12,2:00:00 PM,90,9/30/17
Tour 7.13,2:30:00 PM,90,9/30/17
Tour 7.14,3:00:00 PM,90,9/30/17
Tour 7.15,3:30:00 PM,90,9/30/17
Tour 7.16,4:00:00 PM,90,9/30/17
Tour 7.17,4:30:00 PM,90,9/30/17
Tour 7.18,5:00:00 PM,90,9/30/17
